medicine,ceil_price
"diclo fenac potassium+
serratiopeptidase
tablet
manufactured and
marketed by m/s pharma
force lab. and m/s
mankind pharma ltd.
respectively.",2.7
"(clo betavate gm)
clobetasol propionate+
neomycin sulphate+
miconazole nitrate+
zinc sulphate cream
manufactured and
marketed by m/s
curetech skincare and
m/s lupin limited
respectively.",1.77
"calc ium+
mecobalamin+",7.68
"cefix ime &
dicloxacillin (er) tablet
manufactured and
marketed by
m/s theon
pharmaceuticals ltd. and
m/s iva healthcare pvt.
ltd. respectively.",13.99
"amo xycillin &
dicloxacillin capsule
m/s theon
pharmaceuticals ltd. and
m/s iva healthcare pvt.
ltd. respectively.",5.22
"(xon e sb 250mg)
ceftriaxone +
sulbactam injection
manufactured and
marketed by
m/s alkem lab. ltd.
table
sl.",38.77
"(xon e sb 1g)
ceftriaxone +",98.69
"(tru sten o)
cefixime dry syrup
manufactured and
marketed by
m/s. innova captab p.
ltd. and m/s zuventus
healthcare ltd.
respectively.",1.39
"para cetamol tablet
manufactured and
marketed by
m/s biochem
pharmaceutical
industries ltd.
table",1.62
"(gly ciz m1)
glimepiride+ metformin
hcl tablet
manufactured and
marketed by
m/s indu drugs pvt. ltd.",38.46
"(gly ciz m2)
glimepiride+ metformin
hcl tablet
manufactured and
marketed by
m/s indu drugs pvt. ltd.",4.5
"rani tidine oral solution
manufactured and
marketed by
m/s. relax
pharmaceuticals pvt. ltd.
and m/s magnet labs
pvt. ltd. respectively.",0.52
"(sup pam)
diazepam suppository
manufactured and
marketed by
m/s. meridian
enterprises pvt. ltd.",3.9
"ferr ous ascorbate +
adenosylcobalamin +zinc
sulphate +
folic acid tablet
manufactured and
marketed by
m/s. theon
pharmaceuticals ltd. and
m/s. intas
pharmaceuticals ltd.
respectively.",3.79
"(am longvl
80)
amlodipine besilate+
valsartan tablet
manufactured and
marketed by",2.19
"vogl ibose+
metformin hcl tablet
(zibose m 0.3)
manufactured and
marketed by m/s swiss
garnier lifescience and
m/s fdc ltd.
respectively.",10.0
"glim epiride +
metformin hcl tablet
(hhglim-m1)",10.0
"glyc eryl trinitrate tablet
(g3n 6.4)",4.77
"diclo fenac sodium
injection
(diclotal - aq)
manufactured and
marketed by m/s akums
drugs & pharmaceuticals
ltd. and m/s blue cross
lab. ltd.",14.0
"cefixime oral suspension
(novafex 100 dry syrup)
manufactured and
marketed by m/s",2.1
"azith romycin oral
suspension
manufactured and
marketed by m/s
mankind pharma limited.",2.68
"diclo fenac potassium+
metaxalone tablets
manufactured and
marketed by m/s.
windlas biotech ltd. and
m/s. life star pharma pvt.
ltd. respectively",9.12
"(zite lmi m 25)
telmisartan +
metoprolol tablets
manufactured and
marketed by m/s.
ravenbhel healthcare
pvt. ltd. and m/s. fdc
ltd. respectively.",7.96
"(zite lmi m 50)
telmisartan +
metoprolol tablets
manufactured and
marketed by m/s.
ravenbhel healthcare
pvt. ltd. and m/s. fdc
ltd. respectively.",9.59
"(lee mol-650)
paracetamol tablet
manufactured and
marketed by m/s. allkind
healthcare and m/s.
leeford healthcare ltd.
respectively.",1.62
"(zos ter 800)
aciclovir tablet
manufactured and
marketed by m/s. allkind
healthcare and m/s.
leeford healthcare ltd.
respectively.",22.0
"(olt ef 100)
ofloxacin
suspensionmanufactured
and marketed by m/s.
allkind healthcare and
m/s. leeford healthcare
ltd. respectively.",1.03
"(tru sten s)
ceftriaxone sodium +
sulbactam sodium
injection
manufactured and
marketed by m/s. innova
cap tab pvt. ltd. and",98.69
"man nitol injection
marketed by m/s.
rusoma labs. pvt.
limited.",26.25
"man nitol injection
marketed by m/s.
rusoma labs. pvt.
limited.",91.88
"dom peridone oral drops
manufactured and
marketed by m/s.
sirmour remedies pvt.
ltd. and m/s. mankind
pharma ltd. respectively.",4.51
"(ppp i-l)
pantoprazole+",8.0
"(k-m et duo 0.3)
metformin hcl +
voglibose tablet
manufactured and
marketed by m/s. akums
drugs & pharmaceuticals
ltd. and m/s. blue cross
labs. pvt. ltd.
respectively.",52.38
"(evo xil-cv duos)
amoxycillin +
potassium clavulanate
tablet
manufactured and
marketed by m/s. theon
pharmaceuticals ltd. and
m/s. leeford healthcare
ltd. respectively",26.71
"(nic openta dsr)
pantoprazole +
domperidone capsule
manufactured and
marketed by m/s. theon
pharmaceuticals ltd. and
m/s. abbott healthcare
pvt. ltd. respectively.",7.63
"(albekem plus)
albendazole +
ivermectin tablet
manufactured and
marketed by m/s astam
healthcare pvt. ltd., and
m/s alkem lab. ltd.,
respectively.",17.08
"clotrimazole cream
manufactured as well as
marketed by m/s apex
laboratories pvt. ltd.",2.82
"mes alamine delayed
release tablet
manufactured and
marketed by m/s g.s.
pharmbutor pvt. ltd., and
m/s win medicare pvt.
ltd., respectively.",19.12
"chlorthalidone +
metoprolol tablet
manufactured as well as
marketed by m/s cadila
pharmaceuticals ltd.",5.81
"(van king)
vancomycin infusion
manufactured as well as
marketed by m/s neon
lab. ltd.",256.3
"(dicl ofenac transdermal)
diclofenac diethylamine
patch
manufactured and
marketed by m/s.
sparsha pharma
international pvt. ltd.,
and m/s. zuventus
healthcare ltd.,
respectively.",42.0
"(pan top ox gel 200ml
anesthetic antacid gel)
oxetacaine +aluminium",76.19
"fluc onazole +
sodium chloride
injection
manufactured as well as
marketed by m/s nirma
limited.",1.06
